REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,kml,Attributes,Attributes Display Name,Hover Description,Description
Coastal Migratory Pelagics EFH,Coastal Migratory Pelagics EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/coastalmigratorypelagics.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,12,,,http://ocean.floridamarine.org/efh_coral/metadata/Coastal%20Migratory%20Pelagics%20EFH.htm,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Essential fish habitat for coastal migratory pelagic species includes sandy shoals of capes and offshore bars, high profile rocky bottom and barrier island ocean-side waters, from the surf to the shelf break zone, and from the Gulf stream shoreward, inclusive of Sargassum.","Essential fish habitat for coastal migratory pelagic species includes sandy shoals of capes and offshore bars, high profile rocky bottom and barrier island ocean-side waters, from the surf to the shelf break zone, and from the Gulf stream shoreward, inclusive of Sargassum. In addition, all coastal inlets, all state-designated nursery habitats of particular importance to coastal migratory pelagics (for example, in North Carolina this would include all Primary Nursery Areas and all Secondary Nursery Areas). For Cobia, essential fish habitat also includes high salinity bays, estuaries, and seagrass habitat. In addition, the Gulf Stream is an essential fish habitat because it provides a mechanism to disperse coastal migratory pelagic larvae. For king and Spanish mackerel and cobia, essential fish habitat occurs in the South Atlantic and Mid-Atlantic Bights."
Golden Crab EFH,Golden Crab EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/goldencrab_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,15,,,http://ocean.floridamarine.org/efh_coral/metadata/Golden%20Crab%20EFH.htm,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",This dataset represents the Essential Fish Habitats of Golden Crab as described in Final Habitat Plan for the South Atlantic Region: Essential Fish Habitiat Requirements for Fishery Management Plans of the South Atlantic Fishery Management Council. ,This dataset represents the Essential Fish Habitats of Golden Crab as described in Final Habitat Plan for the South Atlantic Region: Essential Fish Habitiat Requirements for Fishery Management Plans of the South Atlantic Fishery Management Council.
Snapper Grouper EFH,Snapper Grouper EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/snappergrouper_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,17,,,http://ocean.floridamarine.org/efh_coral/metadata/Snapper%20Grouper%20EFH.htm,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Snapper Grouper Essential Fish Habitat (EFH) includes the spawning area in the water column above the adult habitat and the additional pelagic environment, including Sargassum. In addition, the Gulf Stream is also EFH because it provides a mechanism to disperse snapper grouper larvae.","Snapper Grouper Essential Fish Habitat (EFH) includes the spawning area in the water column above the adult habitat and the additional pelagic environment, including Sargassum, required for survival of larvae and growth up to and including settlement. In addition, the Gulf Stream is also EFH because it provides a mechanism to disperse snapper grouper larvae. For specific life stages of estuarine dependent and near shore snapper grouper species, EFH includes areas inshore of the 30 meters (100-foot) contour, such as attached macroalgae; submerged rooted vascular plants (seagrasses); estuarine emergent vegetated wetlands (salt marshes, brackish marsh); tidal creeks; estuarine scrub/shrub (mangrove fringe); oyster reefs and shell banks; unconsolidated bottom (soft sediments); artificial reefs; and coral reefs and live/hard bottom habitats. Submerged aquatic vegetation, artificial reefs and medium to high profile outcroppings on and around the shelf break zone from shore to at least 183 meters [600 feet (but to at least 2,000 feet for wreckfish)] where the annual water temperature range is sufficiently warm to maintain adult populations of this largely tropical fish complex. "
"Coral, Coral Reef, Live/Hard Bottom EFH","Coral, Coral Reefs, Live or Hard Bottom EFH",Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/coral_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,13,,,"http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm",,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Essential fish habitat (EFH) for corals (stony corals, octocorals, and black corals) must incorporate habitat for over 200 species. Specific EFH for corals requirements can be found in the full data layer description.","Essential fish habitat (EFH) for corals (stony corals, octocorals, and black corals) must incorporate habitat for over 200 species. EFH for corals include the following: A. Essential fish habitat for hermatypic stony corals includes rough, hard, exposed, stable substrate from Palm Beach County south through the Florida reef tract in subtidal to 30 m depth, subtropical, oligotrophic waters with high (30-35%) salinity and turbidity levels sufficiently low enough to provide algal symbionts adequate sunlight penetration for photosynthesis. Ahermatypic stony corals are not light restricted and their essential fish habitat includes defined hard substrate in subtidal to outer shelf depths throughout the management area. B. Essential fish habitat for Antipatharia (black corals) includes rough, hard, exposed, stable substrate, offshore in high (30-35%) salinity waters in depths exceeding 18 meters (54 feet), not restricted by light penetration on the outer shelf throughout the management area. C. Essential fish habitat for octocorals excepting the order Pennatulacea (sea pens and sea pansies) includes rough, hard, exposed, stable substrate in subtidal to outer shelf depths within a wide range of salinity and light penetration throughout the management area. D. Essential fish habitat for Pennatulacea (sea pens and sea pansies) includes muddy, silty bottoms in subtidal to outer shelf depths within a wide range of salinity and light penetration."
Outer Continental Shelf Lease Blocks,OCS Lease Blocks,,Bureau of Ocean Energy Management,http://www.boem.gov,,Jurisdictions and Boundaries,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL_BLKCLIP(3).aspx ,http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer,11,,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-BLKCLIP.aspx,,,"PROT_NUMBER,BLOCK_NUMBER,BLK_FED_APRV_DT,MMC.SDE.MMC_BLOCK.AREA,MMC.SDE.MMC_BLOCK.LEN","Protraction Number,OCS Block Number,Effective Date,AREA,LEN",This data set contains Outer Continental Shelf (OCS) block outlines in ArcGIS shape file format for the BOEM Atlantic Region. ,"This data set contains Outer Continental Shelf (OCS) block outlines in ArcGIS shape file format for the BOEM Atlantic Region. OCS blocks are used to define small geographic areas within an Official Protraction Diagram (OPD) for leasing and administrative purposes. These blocks have been clipped along the Submerged Lands Act (SLA) boundary and along the Continental Shelf Boundaries. Additional details are available from: http://www.boem.gov/uploadedFiles/BOEM/Oil_and_Gas_Energy_Program/Mapping_and_Data/99-0006.pdf. Because GIS projection and topology functions can change or generalize coordinates, and because shapefiles cannot represent true arcs, these GIS files are considered to be approximate and are NOT an OFFICIAL record for the exact block coordinates or areas. The Official Protraction Diagrams (OPDs) and Supplemental Official Block Diagrams (SOBDs) serve as the legal definition for BOEM offshore boundary coordinates and area descriptions."
CBRS_Polygons_Nov2012,Coastal Barrier Resource System,,Coastal Services Center,http://www.csc.noaa.gov/,"Sediment,Habitat",Jurisdictions and Boundaries,,http://www.csc.noaa.gov/digitalcoast/data/cbrs,http://129.252.139.110/gsaa/rest/services/gsaa/MapServer,9,,,http://gsaaportal.org/media/metadata/html/CBRS-Metadata.xml,,,"Unit,Unit_Type,Name,Tier","Unit,Unit_Type,Name,Tier",The Coastal Barrier Resources Act (CBRA) of 1982 designated undeveloped coastal barrier lands and associated aquatic habitat as part of the Coastal Barrier Resources System (CBRS). ,"The Coastal Barrier Resources Act (CBRA) of 1982 designated undeveloped coastal barrier lands and associated aquatic habitat as part of the Coastal Barrier Resources System (CBRS). This law does not regulate how people can develop land in the CBRS, but transfers the full cost from Federal taxpayers to the individuals who choose to build so the Federal government does not encourage the development of these coastal barrier habitats. The boundaries of CBRS units are depicted on a series of maps that have been enacted into law by Congress; these maps are controlling and dictate which lands are affected by the CBRA."
Marine Jurisdictions,Marine Jurisdictions,,,,,Jurisdictions and Boundaries,,,http://maritimeboundaries.noaa.gov/arcgis/rest/services/MaritimeBoundaries/US_Maritime_Limits_Boundaries/MapServer,,,,,,,,,,
12NM Territorial Sea,Territorial Sea (12 NM),Marine Jurisdictions,Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,,Jurisdictions and Boundaries,,http://ocs-gis.ncd.noaa.gov/maritime_boundaries/USMaritimeLimitsNBoundariesSHP.zip ,http://maritimeboundaries.noaa.gov/arcgis/rest/services/MaritimeBoundaries/US_Maritime_Limits_Boundaries/MapServer,1,,,http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html,,,"BOUND_ID,REGION,FEAT_TYPE,PUB_DATE,APPRV_DATE,LEGAL_AUTH,AOR,NOTE,SUPP_INFO,UNILATERAL,RULEID,SHAPE","Boundary ID,Region Name,Type of Feature,Publication Date,Date of Baseline Committee Approval,Legal Authority,Agency of Responsibility,Note,Supplemental Information Document,Unilateral Claim,Description,Shape","NOAA is responsible for charting the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ). ","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ). The outer limit of each of these zones is measured from the U.S. normal baseline, which coincides with the low water line depicted on NOAA charts and includes closing lines across the entrances of legal bays and rivers, consistent with international law. The U.S. baseline and associated maritime limits are reviewed and approved through the interagency U.S. Baseline Committee, which is chaired by the U.S. Department of State. In 2002, in response to mounting requests for digital maritime zones, NOAA launched a project to re-evaluate the U.S. baseline in partnership with other federal agencies via the U.S. Baseline Committee. The focus of the baseline evaluation was NOAA's largest scale, most recent edition nautical charts as well as supplemental source materials for verification of certain charted features. This dataset is a result of the 2002-present initiative and reflects a multi-year iterative project whereby the baseline and associated maritime limits were re-evaluated on a state or regional basis. In addition to the U.S. maritime limits, the U.S. maritime boundaries with opposite or adjacent countries are also included in this dataset."
24NM Contiguous Zone,Contiguous Zone (24 NM),Marine Jurisdictions,Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,,Jurisdictions and Boundaries,,http://ocs-gis.ncd.noaa.gov/maritime_boundaries/USMaritimeLimitsNBoundariesSHP.zip ,http://maritimeboundaries.noaa.gov/arcgis/rest/services/MaritimeBoundaries/US_Maritime_Limits_Boundaries/MapServer,2,,,http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html,,,"BOUND_ID,REGION,FEAT_TYPE,PUB_DATE,APPRV_DATE,LEGAL_AUTH,AOR,NOTE,SUPP_INFO,UNILATERAL,RULEID,SHAPE","Boundary ID,Region Name,Type of Feature,Publication Date,Date of Baseline Committee Approval,Legal Authority,Agency of Responsibility,Note,Supplemental Information Document,Unilateral Claim,Description,Shape","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ).","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ). The outer limit of each of these zones is measured from the U.S. normal baseline, which coincides with the low water line depicted on NOAA charts and includes closing lines across the entrances of legal bays and rivers, consistent with international law. The U.S. baseline and associated maritime limits are reviewed and approved through the interagency U.S. Baseline Committee, which is chaired by the U.S. Department of State. In 2002, in response to mounting requests for digital maritime zones, NOAA launched a project to re-evaluate the U.S. baseline in partnership with other federal agencies via the U.S. Baseline Committee. The focus of the baseline evaluation was NOAA's largest scale, most recent edition nautical charts as well as supplemental source materials for verification of certain charted features. This dataset is a result of the 2002-present initiative and reflects a multi-year iterative project whereby the baseline and associated maritime limits were re-evaluated on a state or regional basis. In addition to the U.S. maritime limits, the U.S. maritime boundaries with opposite or adjacent countries are also included in this dataset."
EEZ (200 NM),EEZ (200 NM),Marine Jurisdictions,Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,,Jurisdictions and Boundaries,,http://ocs-gis.ncd.noaa.gov/maritime_boundaries/USMaritimeLimitsNBoundariesSHP.zip ,http://maritimeboundaries.noaa.gov/arcgis/rest/services/MaritimeBoundaries/US_Maritime_Limits_Boundaries/MapServer,3,,,http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html,,,"BOUND_ID,REGION,FEAT_TYPE,PUB_DATE,APPRV_DATE,LEGAL_AUTH,AOR,NOTE,SUPP_INFO,UNILATERAL,RULEID,SHAPE","Boundary ID,Region Name,Type of Feature,Publication Date,Date of Baseline Committee Approval,Legal Authority,Agency of Responsibility,Note,Supplemental Information Document,Unilateral Claim,Description,Shape","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ).","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ). The outer limit of each of these zones is measured from the U.S. normal baseline, which coincides with the low water line depicted on NOAA charts and includes closing lines across the entrances of legal bays and rivers, consistent with international law. The U.S. baseline and associated maritime limits are reviewed and approved through the interagency U.S. Baseline Committee, which is chaired by the U.S. Department of State. In 2002, in response to mounting requests for digital maritime zones, NOAA launched a project to re-evaluate the U.S. baseline in partnership with other federal agencies via the U.S. Baseline Committee. The focus of the baseline evaluation was NOAA's largest scale, most recent edition nautical charts as well as supplemental source materials for verification of certain charted features. This dataset is a result of the 2002-present initiative and reflects a multi-year iterative project whereby the baseline and associated maritime limits were re-evaluated on a state or regional basis. In addition to the U.S. maritime limits, the U.S. maritime boundaries with opposite or adjacent countries are also included in this dataset."
Limit of OCSLA 8(g) zone,Limit of OCSLA zone,Marine Jurisdictions,Bureau of Ocean Energy Management,http://www.boem.gov,,Jurisdictions and Boundaries,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL_8G(3).aspx ,http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer,7,,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-8G.aspx,,,"BDRY_APRV_DATE,BLOCK_NUMBER,BDRY_NAME_TEXT","Boundary Approval,Block Number,Boundary",,
Submerged Lands Act Boundary,Submerged Land Acts Boundary (3 NM),Marine Jurisdictions,Bureau of Ocean Energy Management,http://www.boem.gov,,Jurisdictions and Boundaries,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL_SLA(3).aspx ,http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer,8,,,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-SLA.aspx,,,"BDRY_APRV_DATE,BLOCK_NUMBER,BDRY_NAME_TEXT","Boundary Approval,Block Number,Boundary",This data set contains the Submerged Lands Act (SLA) boundary lines for the BOEM Atlantic Region. The SLA boundary defines the seaward limit of a state's submerged lands and the landward boundary of federally managed OCS lands.,"This data set contains the Submerged Lands Act (SLA) boundary line (also known as State Seaward Boundary (SSB), or Fed State Boundary) in ESRI shapefile formats for the BOEM Atlantic Region. The SLA boundary defines the seaward limit of a state's submerged lands and the landward boundary of federally managed OCS lands. In the BOEM Atlantic Region it is projected 3 nautical miles offshore from the baseline. Further information on the SLA and development of this line from baseline points can be found in OCS Report MMS 99-0006: Boundary Development on the Outer Continental Shelf http://www.boem.gov/uploadedFiles/BOEM/Oil_and_Gas_Energy_Program/Mapping_and_Data/99-0006.pdf. Due to slight differences in process and purpose, the 3 nautical mile line NOAA depicted on its charts may differ in some areas from the SLA boundary depicted on BOEM maps and Official Protraction Diagrams (OPDs) and should not be confused with the SLA boundary. Therefore this boundary is the only boundary that should be used to depict state/federal separation of jurisdiction for submerged lands. Because GIS projection and topology functions can change or generalize coordinates, these GIS files are considered to be approximate and are NOT an OFFICIAL record for the exact Submerged Lands Act Boundary. The OPDs and Supplemental Official Block Diagrams (SOBDs) serve as the legal definition for offshore boundary coordinates and area descriptions."
Critical Habitat Designations,Endangered Species Act Critical Habitat,,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,,Marine Habitat,,ftp://ftp.csc.noaa.gov/pub/MSP/CriticalHabitatDesignations.zip ,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/PhysicalOceanographicAndMarineHabitat/MapServer/,9,,,http://gsaaportal.org/media/metadata/html/CriticalHabitatDesignations.xml,,,"species,region,subregion,roc,nmfsRegion,SHAPE","Species,Region,Subregion,Regional Ocean Council,NMFS Region,SHAPE","The Endangered Species Act (ESA) requires the Federal government to designate ""critical habitat"" for any species it lists under the ESA.","The Endangered Species Act (ESA) requires the Federal government to designate ""critical habitat"" for any species it lists under the ESA. Critical habitat is defined as: 1. Specific areas within the geographical area occupied by the species at the time of listing, if they contain physical or biological features essential to conservation, and those features may require special management considerations or protection; and 2. Specific areas outside the geographical area occupied by the species if the agency determines that the area itself is essential for conservation."
MPAs - nonNMFS,Marine Protected Areas (NonNMFS),,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,,Jurisdictions and Boundaries,,http://www.marinecadastre.gov/data/default.aspx,http://egisws02.nos.noaa.gov/ArcGIS/rest/services/MPA/MPAs_nonNMFS/MapServer,0,,,http://gsaaportal.org/media/metadata/html/MPA%20Inventory%202012%20Metadata.pdf,,,,,"This comprehensive inventory of federal, state, and territorial MPA sites provides governments and stakeholders with access to information to make better decisions about the current and future use of place-based conservation.","The MPA Inventory is a comprehensive catalog that provides detailed information for existing marine protected areas in the United States. The inventory provides geospatial boundary information (in polygon format) and classification attributes that seek to define the conservation objectives, protection level, governance and related management criteria for all sites in the database. The comprehensive inventory of federal, state and territorial MPA sites provides governments and stakeholders with access to information to make better decisions about the current and future use of place-based conservation. The information also will be used to inform the development of the national system of marine protected areas as required by Executive Order 13158."
Shipping and Navigation,Shipping and Navigation,,,,,Ocean Uses,,,,,,,,,,,,,
"Shipping Fairways, Lanes, and Zones","Shipping Fairways, Lanes and Zones",Shipping and Navigation,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,,Ocean Uses,,ftp://ftp.csc.noaa.gov/pub/MSP/Shipping.zip,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/NavigationAndMarineTransportation/MapServer,5,,,http://gsaaportal.org/media/metadata/html/shipping_metadata.html,,, Lanes and Zones,"officialDescription,boundaryIdentifier,boundaryClassifier",Shipping zones delineate activities and regulations for marine vessel traffic.,"Various shipping zones delineate activities and regulations for marine vessel traffic. Traffic lanes define specific traffic flow, while traffic separation zones assist opposing streams of marine traffic. Precautionary areas represent areas where ships must navigate with caution, and shipping safety fairways designate where artificial structures are prohibited. Recommended Routes are predetermined routes for shipping adopted for reasons of safety. Along certain zones of the East Coast of the United States, ships are also required to report vessel location within designated endangered species areas, such as the North Atlantic right whale. Particularly Sensitive Sea Areas need special protection because of their vulnerability to damage by international maritime activities. Areas to be Avoided are within defined limits where navigation is particularly hazardous or it is exceptionally important to avoid casualties and should be avoided by all ships or certain classes of ships."
waterway,Navigable waterways,Shipping and Navigation,US DoT Bureau of Transportation Statistics,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_atlas_database/index.html,"Sediment,Habitat",Ocean Uses,,http://www.bts.gov/publications/national_transportation_atlas_database/2012/,http://129.252.139.110/gsaa/rest/services/gsaa/MapServer,4,,,http://gsaaportal.org/media/metadata/html/navigable_waterways.xml,,,"ID,LENGTH,LINKNUM,ANODE,BNODE,LINKNAME,RIVERNAME,AMILE,BMILE,LENGTH1,LENGTH_SRC,SHAPE_SRC,LINKTYPE,CTRL_DEPTH,WATERWAY,GEO_CLASS,FUNC_CLASS,WTWY_TYPE,CHART_ID,NUM_PAIRS,WHO_MOD,DATE_MOD,HEADING,STATE,FIPS,FIPS2,NON_US,VERSION","ID,LENGTH,LINKNUM,ANODE,BNODE,LINKNAME,RIVERNAME,AMILE,BMILE,LENGTH1,LENGTH_SRC,SHAPE_SRC,LINKTYPE,CTRL_DEPTH,WATERWAY,GEO_CLASS,FUNC_CLASS,WTWY_TYPE,CHART_ID,NUM_PAIRS,WHO_MOD,DATE_MOD,HEADING,STATE,FIPS,FIPS2,NON_US,VERSION",The National Waterway Network is a comprehensive network database of the nation's navigable waterways. ,"The National Waterway Network is a comprehensive network database of the nation's navigable waterways. The data set covers the 48 contiguous states plus the District of Columbia, Hawaii, Alaska, Puerto Rico and water links between. The nominal scale of the dataset varies with the source material. The majority of the information is at 1:100,000 with larger scales used in harbor/bay/port areas and smaller scales used in open waters. The National Waterway Network was created on behalf of the Bureau of Transportation Statistics, the U.S. Army Corps of Engineers, the U.S. Bureau of Census, and the U.S. Coast Guard by Vanderbilt University and Oak Ridge National Laboratory. Additional agencies with input into network development include Volpe National Transportation Systems Center, Maritime Administration, Military Traffic Management Command, Tennessee Valley Authority, U.S.Environmental Protection Agency, and the Federal Railroad Administration."
Military Areas,Military Areas,,,,,Ocean Uses,,,,,,,,,,,,,
Unexploded Ordnances,Unexploded Ordinances,Military Areas,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,,Ocean Uses,,ftp://ftp.csc.noaa.gov/pub/MSP/UnexplodedOrdnances.zip,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/NavigationAndMarineTransportation/MapServer,8,,,http://csc.noaa.gov/htdata/CMSP/Metadata/UnexplodedOrdnances.htm,,,"description,sourceDate,rnc","Description,Source Date,RNC",Unexploded ordnance are explosive weapons that did not explode when they were employed and still pose a risk of detonation.,"Unexploded ordnance are explosive weapons that did not explode when they were employed and still pose a risk of detonation. This is NOT a complete collection of unexploded ordnance on the seafloor, nor are the locations to be considered exact. The locations of the unexploded ordnance have been derived from graphical representations recorded on NOAA Raster Navigation Charts. These data are intended for coastal and ocean planning and not for navigation."
Military Aviation Warning Areas,Military Aviation Warning Areas,Military Areas,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,,Ocean Uses,,http://www.marinecadastre.gov/data/default.aspx,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/NavigationAndMarineTransportation/MapServer,11,,,http://www.marinecadastre.gov/data/default.aspx,,,"SUAS_IDENT,TYPE,NAME,CON_AGCY,COMM_NAME,UPPER_ALT,LOWER_ALT,Label,Shape_STArea__,Shape_STLength__,Shape.STArea(),Shape.STLength()","Special Use Airspace ID,Type,Name,Contact Agency,Communications Name,Upper Altitude,Lower Altitude,Label,Shape.STArea(),Shape.STLength(),Shape.STArea(),Shape.STLength()",This dataset contains Special Use Warning Area information over US waters related to military operation or training activities.,"This dataset contains Special Use Warning Area information over US waters related to military operation or training activities. These areas are provided for aviator safety and created by the National Geospatial-Intelligence Agency. Warning Areas are airspace of defined dimensions, extending from 3 nautical miles outward from the coast of the United States, designated to contain activity that may be potentially hazardous to nonparticipating aircrafts or mariners. Some areas are permanent and some intermittently active. This dataset shows the low/high flight levels which the aviator must be aware of for each area. Altitudes are shown in feet in either altimeter or sea level units (not comparable units)."
Commercial Vessel Density October 2009-2010,Commercial Vessel Density (2009-2010),Shipping and Navigation,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,Sediment,Ocean Uses,,ftp://ftp.csc.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010National.zip,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/CommercialVesselDensityOctober2009-2010/MapServer,0,,,http://gsaaportal.org/media/metadata/html/AISDataHandler2010Metadata.07312012.xml,,,,,Commerical Vessel Density data were generated to provide insight into traffic patterns on a macro scale so they could be analyzed across the coastal waters of the Continental United States. ,"These data were generated to provide insight into traffic patterns on a macro scale so they could be analyzed across the coastal waters of the Continental United States. For this dataset a transit is counted for every unique vessel intersecting a 1 kilometer square grid cell each day. These data represents the total number of vessel transits from October 2009 - October 2010. There were some grid cells which were unable to be processed, but we do not believe this interferes with the integrity of the dataset. Please note multiple connection errors occurred during the time frame of this study. In most cases data gaps were filled by making subsequent request to the coastguard or other groups receiving the same data feed. However, due to resource constraints, uninterrupted coverage was not obtained. Overall data outages were minimal on the order less than a day per month and because random and affect all areas uniformly do not has a significant effect on the integrity of the data. Also as stated on the USCG NAIS website, AIS data is not representative of all vessel traffic and USCG NAIS receivers do not fully cover the entire extent of this study area. Please take time to understand both of these limitations."
Wrecks and Obstructions,Wrecks and Obstructions,Shipping and Navigation,Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,,Ocean Uses,,http://www.nauticalcharts.noaa.gov/hsd/docs/Region_7.mdb,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/NavigationAndMarineTransportation/MapServer,1,,,http://www.nauticalcharts.noaa.gov/hsd/awoismetadata.xml,,,"VESSLTERMS,YEARSUNK","Vessel Terms,Year Sunk",,
U.S. Medium Resolution Shoreline,Shorelines,,NOAA Shoreline Website,http://shoreline.noaa.gov/,,Oceanographic Features,,http://www.nauticalcharts.noaa.gov/csdl/ctp/cm_vs.htm,http://egisws02.nos.noaa.gov/ArcGIS/rest/services/NOAA_Shoreline/NOAA_Medium_Resolution_Shoreline/MapServer,0,,,http://www.nauticalcharts.noaa.gov/csdl/ctp/metadata_vs.htm,,,,,"NOAA's Medium Resolution Digital Vector Shoreline is a high-quality general-use digital vector data set compiled from NOAA charts. 1:80,000 NOAA charts took precedence. For areas where 1:80,000 charts were not readily available, charts with the next closest higher scale (e.g., 1:60,000) were used.","NOAA's Medium Resolution Digital Vector Shoreline is a high-quality general-use digital vector data set compiled from NOAA charts. Generally, 1:80,000 NOAA charts took precedence and were used when available. For areas where 1:80,000 charts were not readily available, charts with the next closest higher scale (e.g., 1:60,000) were used down to the highest scale available. "
Ocean Sediment Thickness Contours,Bathymetry - 10 Meter,,Mutlipurpose Marine Cadastre,http://www.csc.noaa.gov/digitalcoast/tools/mmc,Sediment,Oceanographic Features,,http://www.marinecadastre.gov/data/default.aspx,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/PhysicalOceanographicAndMarineHabitat/MapServer,7,,,http://www.marinecadastre.gov/data/default.aspx,,,CONTOUR,Depth,,
National Seafloor Sediment (usSEABED),Undersea Feature Names,,Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,,Oceanographic Features,,http://earth-info.nga.mil/gns/html//underseafeatures.html,http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/PhysicalOceanographicAndMarineHabitat/MapServer,5,,,http://www.marinecadastre.gov/data/default.aspx,,,FULL_NAME_,Full Name,,
USGS Coastal Vulnerability,Coastal Vulnerability Model ,,USGS Coastal Vulnerability to Sea-Level Rise,http://woodshole.er.usgs.gov/project-pages/cvi/,"Sediment,Habitat",Oceanographic Features,,http://pubs.usgs.gov/dds/dds68/htmldocs/data.htm,http://129.252.139.110/gsaa/rest/services/gsaa/MapServer,6,,,http://gsaaportal.org/media/metadata/html/atlantic.htm,,,,,,
