REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,Description,kml
"Trap_Gag Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","50","","http://gsaaportal.org/media/metadata/xml/Trap_Gag_export.xml","http://gsaaportal.org/media/metadata/html/Trap_Gag_export.html","","",""
"Trap_Grey Triggerfish","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","51","","http://gsaaportal.org/media/metadata/xml/Trap_GreyTrig_export.xml","http://gsaaportal.org/media/metadata/html/Trap_GreyTrig_export.html","","",""
"Trap_Knobbed Porgy","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","52","","http://gsaaportal.org/media/metadata/xml/Trap_KnobbedPorgy_export.xml","http://gsaaportal.org/media/metadata/html/Trap_KnobbedPorgy_export.html","","",""
"Trap_Red Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","53","","http://gsaaportal.org/media/metadata/xml/Trap_RedGrouper_export.xml","http://gsaaportal.org/media/metadata/html/Trap_RedGrouper_export.html","","",""
"Shallow Water Finfish","Shallow Water Finfish","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","54","","","","","",""
"Weakfish","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","55","","http://gsaaportal.org/media/metadata/xml/Weakfish_export.xml","http://gsaaportal.org/media/metadata/html/Weakfish_export.html","","",""
"Spot","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","56","","http://gsaaportal.org/media/metadata/xml/Spot_export.xml","http://gsaaportal.org/media/metadata/html/Spot_export.html","","",""
"Southern Kingfish","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","57","","http://gsaaportal.org/media/metadata/xml/SKingfish_export.xml","http://gsaaportal.org/media/metadata/html/SKingfish_export.html","","",""
"Atlantic Sharpnose Shark","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","58","","http://gsaaportal.org/media/metadata/xml/SharkAtSharp_export.xml","http://gsaaportal.org/media/metadata/html/SharkAtSharp_export.html","","",""
"Bluefish","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","59","","http://gsaaportal.org/media/metadata/xml/Bluefish_export.xml","http://gsaaportal.org/media/metadata/html/Bluefish_export.html","","",""
"Atlantic Croaker","","Shallow Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","60","","http://gsaaportal.org/media/metadata/xml/AtCroaker_export.xml","http://gsaaportal.org/media/metadata/html/AtCroaker_export.html","","",""
"Shallow Water Crustaceans","Shallow Water Crustaceans","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","61","","","","","",""
"White Shrimp","","Shallow Water Crustaceans","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","62","","http://gsaaportal.org/media/metadata/xml/WhiteShrimp_export.xml","http://gsaaportal.org/media/metadata/html/WhiteShrimp_export.html","","",""
"Brown Shrimp","","Shallow Water Crustaceans","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","63","","http://gsaaportal.org/media/metadata/xml/BrownShrimp_export.xml","http://gsaaportal.org/media/metadata/html/BrownShrimp_export.html","","",""
"Marine Mammals","Marine Mammals","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","64","","","","","",""
"North American Right Whale Sightings","","Marine Mammals","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","65","","http://gsaaportal.org/media/metadata/xml/NARtWhale_export.xml","http://gsaaportal.org/media/metadata/html/NARtWhale_export.html","","",""
"Sea Turtles","Sea Turtles","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","66","","","","","",""
"Turtle Nests_North Carolina","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","67","","http://gsaaportal.org/media/metadata/xml/TurtleNests_NC_export.xml","http://gsaaportal.org/media/metadata/html/TurtleNests_NC_export.html","","",""
"Turtle Nests_South Carolina","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","68","","http://gsaaportal.org/media/metadata/xml/TurtleNests_SC_export.xml","http://gsaaportal.org/media/metadata/html/TurtleNests_SC_export.html","","",""
"Turtle Nests_Georgia","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","69","","http://gsaaportal.org/media/metadata/xml/TurtleNests_GA_export.xml","http://gsaaportal.org/media/metadata/html/TurtleNests_GA_export.html","","",""
"Turtle Nests_Florida Loggerhead","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","70","","http://gsaaportal.org/media/metadata/xml/TurtleNests_FL_export.xml","http://gsaaportal.org/media/metadata/html/TurtleNests_FL_export.html","","",""
"Turtle Nests_Florida Green","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","71","","","","","",""
"Turtle Nests_Florida Hawksbill","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","72","","","","","",""
"Turtle Nests_Florida Kemp's Ridley","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","73","","","","","",""
"Turtle Nests_Florida Leatherback","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","74","","","","","",""
"Loggerhead Sea Turtle Trawl Survey","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","75","","http://gsaaportal.org/media/metadata/xml/InWaterLogger_export.xml","http://gsaaportal.org/media/metadata/html/InWaterLogger_export.html","","",""
"Kemp's Ridley Sea Turtle Trawl Survey","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","76","","http://gsaaportal.org/media/metadata/xml/InWaterKemps_export.xml","http://gsaaportal.org/media/metadata/html/InWaterKemps_export.html","","",""
"Loggerhead Sea Turtle SEAMAP Survey","","Sea Turtles","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","77","","http://gsaaportal.org/media/metadata/xml/SEAMAP_turtle_export.xml","http://gsaaportal.org/media/metadata/html/SEAMAP_turtle_export.html","","",""
"Ocean Dredge Material Disposal Areas","Ocean Dredge Material Disposal Areas","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","OceanUses","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","1","","","","","",""
"ODMDS_North Carolina","","Ocean Dredge Material Disposal Areas","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","2","","http://gsaaportal.org/media/metadata/xml/ODMDS_NC_export.xml","http://gsaaportal.org/media/metadata/html/ODMDS_NC_export.html","","",""
"ODMDS_South Carolina","","Ocean Dredge Material Disposal Areas","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","3","","http://gsaaportal.org/media/metadata/xml/ODMDS_SC_export.xml","http://gsaaportal.org/media/metadata/html/ODMDS_SC_export.html","","",""
"ODMDS_Georgia","","Ocean Dredge Material Disposal Areas","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","4","","http://gsaaportal.org/media/metadata/xml/ODMDS_GA_export.xml","http://gsaaportal.org/media/metadata/html/ODMDS_GA_export.html","","",""
"ODMDS_Florida","","Ocean Dredge Material Disposal Areas","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","5","","http://gsaaportal.org/media/metadata/xml/ODMDS_FL_export.xml","http://gsaaportal.org/media/metadata/html/ODMDS_FL_export.html","","",""
"Artificial Reefs","Artificial Reefs","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","OceanUses","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","6","","","","","",""
"Artificial Reefs_North Carolina","","Artificial Reefs","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","7","","http://gsaaportal.org/media/metadata/xml/ArtReefs_NC_export.xml","http://gsaaportal.org/media/metadata/html/ArtReefs_NC_export.html","","",""
"Artificial Reefs_South Carolina","","Artificial Reefs","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","8","","http://gsaaportal.org/media/metadata/xml/ArtReefs_SC_export.xml","http://gsaaportal.org/media/metadata/html/ArtReefs_SC_export.html","","",""
"Artificial Reefs_Georgia","","Artificial Reefs","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","9","","http://gsaaportal.org/media/metadata/xml/ArtReefs_GA_export.xml","http://gsaaportal.org/media/metadata/html/ArtReefs_GA_export.html","","",""
"Artificial Reefs_Florida","","Artificial Reefs","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","10","","http://gsaaportal.org/media/metadata/xml/ArtReefs_FL_export.xml","http://gsaaportal.org/media/metadata/html/ArtReefs_FL_export.html","","",""
"Commercial Finfish Landings","Commercial Finfish Landings","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","OceanUses","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","11","","","","","",""
"ACCSP Fish Landings By Area Code","","Commercial Finfish Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","12","","http://gsaaportal.org/media/metadata/xml/FishLandBlock_export.xml","http://gsaaportal.org/media/metadata/html/FishLandBlock_export.html","","",""
"ACCSP Fish Landings By Latitude and Species","","Commercial Finfish Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","13","","http://gsaaportal.org/media/metadata/xml/FishLatBin_export.xml","http://gsaaportal.org/media/metadata/html/FishLatBin_export.html","","",""
"Commercial Shrimp Landings","Commercial Shrimp Landings","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","OceanUses","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","14","","","","","",""
"Shrimp Landings_North Carolina","","Commercial Shrimp Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","15","","http://gsaaportal.org/media/metadata/xml/Shrimp_NC_export.xml","http://gsaaportal.org/media/metadata/html/Shrimp_NC_export.html","","",""
"Shrimp Landings_South Carolina","","Commercial Shrimp Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","16","","http://gsaaportal.org/media/metadata/xml/Shrimp_SC_export.xml","http://gsaaportal.org/media/metadata/html/Shrimp_SC_export.html","","",""
"Shrimp Landings_Georgia","","Commercial Shrimp Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","17","","http://gsaaportal.org/media/metadata/xml/Shrimp_GA_export.xml","http://gsaaportal.org/media/metadata/html/Shrimp_GA_export.html","","",""
"Shrimp Landings_Florida","","Commercial Shrimp Landings","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","18","","http://gsaaportal.org/media/metadata/xml/Shrimp_FL_export.xml","http://gsaaportal.org/media/metadata/html/Shrimp_FL_export.html","","",""
"Commercial Shrimp Activity","Commercial Shrimp Activity","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","OceanUses","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","19","","","","","",""
"RockShrimp VMS Records","","Commercial Shrimp Activity","","","Habitat","OceanUses","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","20","","http://gsaaportal.org/media/metadata/xml/Shrimp_VMS_export.xml","http://gsaaportal.org/media/metadata/html/Shrimp_VMS_export.html","","",""
